,BHEvaluation,BHEvaluation,UHB,UHB,OUH,OUH,PUH,PUH
,TPR,FPR,TPR,FPR,TPR,FPR,TPR,FPR
Value,,,,,,,,
96,0.6620689655172414,0.11368015414258188,0.8333333333333334,0.16209773539928488,0.06889352818371608,0.0036687315811631685,0.12836021505376344,0.0052667346245327895
97,0.6620689655172414,0.11753371868978806,0.8333333333333334,0.19308700834326578,0.06941544885177453,0.0036687315811631685,0.12836021505376344,0.005351681957186544
98,0.6689655172413793,0.11753371868978806,0.8431372549019608,0.19308700834326578,0.06941544885177453,0.0037288747218379745,0.12903225806451613,0.005351681957186544
99,0.6689655172413793,0.11849710982658959,0.8431372549019608,0.20023837902264602,0.07045929018789145,0.0037288747218379745,0.12903225806451613,0.0054366292898402994
100,0.6758620689655173,0.11849710982658959,0.8529411764705882,0.20023837902264602,0.07045929018789145,0.0037890178625127804,0.1310483870967742,0.0054366292898402994
101,0.6758620689655173,0.11946050096339114,0.8529411764705882,0.21096543504171633,0.0720250521920668,0.0037890178625127804,0.1310483870967742,0.005521576622494054
102,0.6827586206896552,0.11946050096339114,0.8627450980392157,0.21096543504171633,0.0720250521920668,0.0038491610031875863,0.13306451612903225,0.005521576622494054
103,0.6827586206896552,0.1233140655105973,0.8627450980392157,0.2872467222884386,0.07254697286012526,0.0038491610031875863,0.13306451612903225,0.0056065239551478085
104,0.6896551724137931,0.1233140655105973,0.8725490196078431,0.2872467222884386,0.07254697286012526,0.003909304143862392,0.13373655913978494,0.0056065239551478085
105,0.6896551724137931,0.12716763005780346,0.8725490196078431,0.2943980929678188,0.07359081419624217,0.003909304143862392,0.13373655913978494,0.005691471287801563
106,0.696551724137931,0.12716763005780346,0.8823529411764706,0.2943980929678188,0.07359081419624217,0.004029590425212005,0.13440860215053763,0.005691471287801563
107,0.696551724137931,0.13102119460500963,0.8823529411764706,0.3396901072705602,0.07463465553235908,0.004029590425212005,0.13440860215053763,0.0057764186204553175
108,0.7034482758620689,0.13102119460500963,0.8921568627450981,0.3396901072705602,0.07463465553235908,0.00408973356588681,0.135752688172043,0.0057764186204553175
109,0.7034482758620689,0.13680154142581888,0.8921568627450981,0.3539928486293206,0.07620041753653445,0.00408973356588681,0.135752688172043,0.005861365953109072
110,0.7103448275862069,0.13680154142581888,0.9019607843137255,0.3539928486293206,0.07620041753653445,0.004149876706561617,0.1364247311827957,0.005861365953109072
111,0.7103448275862069,0.14258188824662812,0.9019607843137255,0.35518474374255066,0.0767223382045929,0.004149876706561617,0.1364247311827957,0.0061162079510703364
112,0.7172413793103448,0.14258188824662812,0.9117647058823529,0.35518474374255066,0.07776617954070981,0.004149876706561617,0.13776881720430106,0.0061162079510703364
113,0.7172413793103448,0.1464354527938343,0.9117647058823529,0.3873659117997616,0.07881002087682672,0.004149876706561617,0.13776881720430106,0.006201155283724091
114,0.7241379310344828,0.1464354527938343,0.9215686274509803,0.3873659117997616,0.07881002087682672,0.004450592409935647,0.15053763440860216,0.006201155283724091
115,0.7241379310344828,0.1579961464354528,0.9215686274509803,0.40166865315852207,0.081419624217119,0.004450592409935647,0.15053763440860216,0.0062861026163778455
