,OUH,OUH,BHEvaluation,BHEvaluation,UHB,UHB,PUH,PUH
,TPR,FPR,TPR,FPR,TPR,FPR,TPR,FPR
Value,,,,,,,,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,6.0143140674806036e-05,0.006896551724137931,0.0,0.00980392156862745,0.0,0.0006720430107526882,0.0
2,0.0,0.00012028628134961207,0.006896551724137931,0.0009633911368015414,0.029411764705882353,0.0,0.0006720430107526882,0.00025484199796126404
3,0.0005219206680584551,0.00012028628134961207,0.041379310344827586,0.0009633911368015414,0.029411764705882353,0.0011918951132300357,0.0013440860215053765,0.00025484199796126404
4,0.0005219206680584551,0.0003007157033740302,0.041379310344827586,0.0019267822736030828,0.0392156862745098,0.0011918951132300357,0.0013440860215053765,0.0005096839959225281
5,0.0015657620041753654,0.0003007157033740302,0.05517241379310345,0.0019267822736030828,0.0392156862745098,0.007151370679380214,0.002688172043010753,0.0005096839959225281
6,0.0020876826722338203,0.0003007157033740302,0.05517241379310345,0.002890173410404624,0.058823529411764705,0.007151370679380214,0.002688172043010753,0.0006795786612300374
7,0.0020876826722338203,0.00036085884404883623,0.06206896551724138,0.002890173410404624,0.058823529411764705,0.009535160905840286,0.003360215053763441,0.0006795786612300374
8,0.0026096033402922755,0.00036085884404883623,0.06206896551724138,0.004816955684007707,0.0784313725490196,0.009535160905840286,0.003360215053763441,0.0008494733265375467
9,0.0026096033402922755,0.00042100198472364226,0.07586206896551724,0.004816955684007707,0.0784313725490196,0.011918951132300357,0.004032258064516129,0.0008494733265375467
10,0.003131524008350731,0.00042100198472364226,0.07586206896551724,0.005780346820809248,0.09803921568627451,0.011918951132300357,0.004032258064516129,0.0012742099898063201
11,0.003131524008350731,0.0004811451253984483,0.08275862068965517,0.005780346820809248,0.09803921568627451,0.013110846245530394,0.005376344086021506,0.0012742099898063201
12,0.0036534446764091857,0.0004811451253984483,0.08275862068965517,0.00674373795761079,0.12745098039215685,0.013110846245530394,0.005376344086021506,0.0013591573224600749
13,0.0036534446764091857,0.0006014314067480604,0.09655172413793103,0.00674373795761079,0.12745098039215685,0.015494636471990465,0.006720430107526882,0.0013591573224600749
14,0.004697286012526096,0.0006014314067480604,0.09655172413793103,0.007707129094412331,0.13725490196078433,0.015494636471990465,0.006720430107526882,0.0020387359836901123
15,0.004697286012526096,0.0007217176880976725,0.10344827586206896,0.007707129094412331,0.13725490196078433,0.017878426698450536,0.00739247311827957,0.0020387359836901123
16,0.005741127348643006,0.0007217176880976725,0.10344827586206896,0.017341040462427744,0.14705882352941177,0.017878426698450536,0.00739247311827957,0.002123683316343867
17,0.005741127348643006,0.0009622902507968966,0.1103448275862069,0.017341040462427744,0.14705882352941177,0.01907032181168057,0.008736559139784945,0.002123683316343867
18,0.006263048016701462,0.0009622902507968966,0.1103448275862069,0.022157996146435453,0.16666666666666666,0.01907032181168057,0.008736559139784945,0.0022935779816513763
19,0.006263048016701462,0.0010224333914717026,0.12413793103448276,0.022157996146435453,0.16666666666666666,0.02026221692491061,0.009408602150537635,0.0022935779816513763
20,0.006784968684759917,0.0010224333914717026,0.12413793103448276,0.02601156069364162,0.18627450980392157,0.02026221692491061,0.009408602150537635,0.0025484199796126403
21,0.006784968684759917,0.0010825765321465087,0.1310344827586207,0.02601156069364162,0.18627450980392157,0.02264600715137068,0.010080645161290322,0.0025484199796126403
22,0.007828810020876827,0.0010825765321465087,0.1310344827586207,0.028901734104046242,0.20588235294117646,0.02264600715137068,0.010080645161290322,0.0027183146449201497
23,0.007828810020876827,0.0013832922355205388,0.14482758620689656,0.028901734104046242,0.20588235294117646,0.023837902264600714,0.010752688172043012,0.0027183146449201497
24,0.008350730688935281,0.0013832922355205388,0.14482758620689656,0.03371868978805395,0.23529411764705882,0.023837902264600714,0.010752688172043012,0.0028032619775739042
25,0.008350730688935281,0.001503578516870151,0.15172413793103448,0.03371868978805395,0.23529411764705882,0.033373063170441,0.0114247311827957,0.0028032619775739042
26,0.009394572025052192,0.001503578516870151,0.15172413793103448,0.038535645472061654,0.24509803921568626,0.033373063170441,0.0114247311827957,0.0034828406388039417
27,0.009394572025052192,0.0016238647982197631,0.16551724137931034,0.038535645472061654,0.24509803921568626,0.04052443384982122,0.012096774193548387,0.0034828406388039417
28,0.009394572025052192,0.0019245805015937931,0.16551724137931034,0.04335260115606936,0.27450980392156865,0.04052443384982122,0.012096774193548387,0.003567787971457696
29,0.010438413361169102,0.0019245805015937931,0.1724137931034483,0.04335260115606936,0.27450980392156865,0.04529201430274136,0.014112903225806451,0.003567787971457696
30,0.010438413361169102,0.002044866782943405,0.1724137931034483,0.04816955684007707,0.30392156862745096,0.04529201430274136,0.014112903225806451,0.0036527353041114507
31,0.010960334029227558,0.002044866782943405,0.1793103448275862,0.04816955684007707,0.30392156862745096,0.052443384982121574,0.01478494623655914,0.0036527353041114507
32,0.010960334029227558,0.0022252962049678234,0.1793103448275862,0.05202312138728324,0.3137254901960784,0.052443384982121574,0.01478494623655914,0.0037376826367652057
33,0.010960334029227558,0.0023455824863174357,0.18620689655172415,0.05202312138728324,0.3137254901960784,0.066746126340882,0.01747311827956989,0.0037376826367652057
34,0.012526096033402923,0.0023455824863174357,0.18620689655172415,0.052986512524084775,0.3431372549019608,0.066746126340882,0.01747311827956989,0.00382262996941896
35,0.012526096033402923,0.0026462981896914657,0.19310344827586207,0.052986512524084775,0.3431372549019608,0.06793802145411204,0.019489247311827957,0.00382262996941896
36,0.013048016701461378,0.0026462981896914657,0.19310344827586207,0.05491329479768786,0.35294117647058826,0.06793802145411204,0.019489247311827957,0.004077471967380225
37,0.013048016701461378,0.0027665844710410776,0.20689655172413793,0.05491329479768786,0.35294117647058826,0.07032181168057211,0.0228494623655914,0.004077471967380225
38,0.013569937369519834,0.0027665844710410776,0.20689655172413793,0.05684007707129094,0.3627450980392157,0.07032181168057211,0.0228494623655914,0.004162419300033979
39,0.013569937369519834,0.003007157033740302,0.21379310344827587,0.05684007707129094,0.3627450980392157,0.08462455303933254,0.023521505376344086,0.004162419300033979
40,0.014091858037578288,0.003007157033740302,0.21379310344827587,0.057803468208092484,0.37254901960784315,0.08462455303933254,0.023521505376344086,0.004502208630648998
41,0.014091858037578288,0.003067300174415108,0.22758620689655173,0.057803468208092484,0.37254901960784315,0.09177592371871275,0.024193548387096774,0.004502208630648998
42,0.014613778705636743,0.003067300174415108,0.22758620689655173,0.06551059730250482,0.39215686274509803,0.09177592371871275,0.024193548387096774,0.004926945293917771
43,0.014613778705636743,0.003368015877789138,0.2413793103448276,0.06551059730250482,0.39215686274509803,0.09415971394517282,0.025537634408602152,0.004926945293917771
44,0.017745302713987474,0.003368015877789138,0.2413793103448276,0.06936416184971098,0.4019607843137255,0.09415971394517282,0.025537634408602152,0.0057764186204553175
45,0.017745302713987474,0.003428159018463944,0.2482758620689655,0.06936416184971098,0.4019607843137255,0.09892729439809297,0.026881720430107527,0.0057764186204553175
46,0.01826722338204593,0.003428159018463944,0.2482758620689655,0.07129094412331406,0.4117647058823529,0.09892729439809297,0.026881720430107527,0.006031260618416582
47,0.01826722338204593,0.0036687315811631685,0.25517241379310346,0.07129094412331406,0.4117647058823529,0.10131108462455304,0.02889784946236559,0.006031260618416582
48,0.018789144050104383,0.0036687315811631685,0.25517241379310346,0.07321772639691715,0.4215686274509804,0.10131108462455304,0.02889784946236559,0.0061162079510703364
49,0.018789144050104383,0.003909304143862392,0.2620689655172414,0.07321772639691715,0.4215686274509804,0.10846245530393325,0.02956989247311828,0.0061162079510703364
50,0.019832985386221295,0.003909304143862392,0.2620689655172414,0.07514450867052024,0.43137254901960786,0.10846245530393325,0.02956989247311828,0.0062861026163778455
51,0.02035490605427975,0.003909304143862392,0.27586206896551724,0.07514450867052024,0.43137254901960786,0.11203814064362336,0.03024193548387097,0.0062861026163778455
52,0.02035490605427975,0.004149876706561617,0.27586206896551724,0.07707129094412331,0.4411764705882353,0.11203814064362336,0.03024193548387097,0.0063710499490316
53,0.02035490605427975,0.004270162987911229,0.2827586206896552,0.07707129094412331,0.4411764705882353,0.14183551847437426,0.030913978494623656,0.0063710499490316
54,0.02035490605427975,0.0043904492692608404,0.2827586206896552,0.07803468208092486,0.45098039215686275,0.14183551847437426,0.030913978494623656,0.006455997281685355
55,0.021920668058455117,0.0043904492692608404,0.2896551724137931,0.07803468208092486,0.45098039215686275,0.1466030989272944,0.031586021505376344,0.006455997281685355
56,0.021920668058455117,0.004450592409935647,0.2896551724137931,0.07996146435452794,0.46078431372549017,0.1466030989272944,0.031586021505376344,0.00654094461433911
57,0.02244258872651357,0.004450592409935647,0.296551724137931,0.07996146435452794,0.46078431372549017,0.1501787842669845,0.03225806451612903,0.00654094461433911
58,0.02244258872651357,0.004751308113309677,0.296551724137931,0.08092485549132948,0.47058823529411764,0.1501787842669845,0.03225806451612903,0.006710839279646619
59,0.024008350730688934,0.004751308113309677,0.30344827586206896,0.08092485549132948,0.47058823529411764,0.1537544696066746,0.03293010752688172,0.006710839279646619
60,0.024008350730688934,0.005232453238708125,0.30344827586206896,0.08188824662813102,0.4803921568627451,0.1537544696066746,0.03293010752688172,0.006880733944954129
61,0.024530271398747392,0.005232453238708125,0.31724137931034485,0.08188824662813102,0.4803921568627451,0.16090584028605484,0.033602150537634407,0.006880733944954129
62,0.024530271398747392,0.00547302580140735,0.31724137931034485,0.08574181117533719,0.5,0.16090584028605484,0.033602150537634407,0.006965681277607883
63,0.025052192066805846,0.00547302580140735,0.32413793103448274,0.08574181117533719,0.5,0.1728247914183552,0.035618279569892476,0.006965681277607883
64,0.025052192066805846,0.005954170926805798,0.32413793103448274,0.08670520231213873,0.5098039215686274,0.1728247914183552,0.035618279569892476,0.007305470608222901
65,0.0255741127348643,0.005954170926805798,0.3310344827586207,0.08670520231213873,0.5098039215686274,0.17759237187127533,0.036290322580645164,0.007305470608222901
66,0.0255741127348643,0.0061947434895050215,0.3310344827586207,0.11078998073217726,0.5196078431372549,0.17759237187127533,0.036290322580645164,0.007390417940876657
67,0.026096033402922755,0.0061947434895050215,0.33793103448275863,0.11078998073217726,0.5196078431372549,0.18235995232419547,0.038978494623655914,0.007390417940876657
68,0.026096033402922755,0.006555602333553858,0.33793103448275863,0.11271676300578035,0.5294117647058824,0.18235995232419547,0.038978494623655914,0.007560312606184166
69,0.02661795407098121,0.006555602333553858,0.3448275862068966,0.11271676300578035,0.5294117647058824,0.19189511323003575,0.0396505376344086,0.007560312606184166
70,0.02661795407098121,0.006675888614903471,0.3448275862068966,0.11464354527938343,0.5392156862745098,0.19189511323003575,0.0396505376344086,0.007985049269452938
71,0.027139874739039668,0.006675888614903471,0.3586206896551724,0.11464354527938343,0.5392156862745098,0.19904648390941598,0.04099462365591398,0.007985049269452938
72,0.027139874739039668,0.006856318036927888,0.3586206896551724,0.11946050096339114,0.5490196078431373,0.19904648390941598,0.04099462365591398,0.008069996602106694
73,0.028183716075156576,0.006856318036927888,0.3724137931034483,0.11946050096339114,0.5490196078431373,0.20381406436233612,0.041666666666666664,0.008069996602106694
74,0.028183716075156576,0.006976604318277501,0.3724137931034483,0.1252408477842004,0.5588235294117647,0.20381406436233612,0.041666666666666664,0.008239891267414203
75,0.02870563674321503,0.006976604318277501,0.3793103448275862,0.1252408477842004,0.5588235294117647,0.21454112038140644,0.04233870967741935,0.008239891267414203
76,0.02870563674321503,0.0070968905996271125,0.3793103448275862,0.12620423892100194,0.5686274509803921,0.21454112038140644,0.04233870967741935,0.008324838600067958
77,0.029227557411273485,0.0070968905996271125,0.3931034482758621,0.12620423892100194,0.5686274509803921,0.2169249106078665,0.043010752688172046,0.008324838600067958
78,0.029227557411273485,0.007217176880976724,0.3931034482758621,0.12716763005780346,0.5980392156862745,0.2169249106078665,0.043010752688172046,0.008494733265375467
79,0.029749478079331943,0.007217176880976724,0.41379310344827586,0.12716763005780346,0.5980392156862745,0.21930870083432658,0.043682795698924734,0.008494733265375467
80,0.029749478079331943,0.007337463162326337,0.41379310344827586,0.13198458574181118,0.6176470588235294,0.21930870083432658,0.043682795698924734,0.008664627930682976
81,0.029749478079331943,0.0073976063030011426,0.42758620689655175,0.13198458574181118,0.6176470588235294,0.22646007151370678,0.04435483870967742,0.008664627930682976
82,0.030271398747390398,0.0073976063030011426,0.42758620689655175,0.1348747591522158,0.6274509803921569,0.22646007151370678,0.04435483870967742,0.008749575263336732
83,0.030271398747390398,0.007517892584350754,0.43448275862068964,0.1348747591522158,0.6274509803921569,0.22884386174016685,0.04502688172043011,0.008749575263336732
84,0.030793319415448852,0.007517892584350754,0.43448275862068964,0.13583815028901733,0.6372549019607843,0.22884386174016685,0.04502688172043011,0.008834522595990485
85,0.030793319415448852,0.007578035725025561,0.4482758620689655,0.13583815028901733,0.6372549019607843,0.23122765196662692,0.0456989247311828,0.008834522595990485
86,0.031315240083507306,0.007578035725025561,0.4482758620689655,0.13872832369942195,0.6470588235294118,0.23122765196662692,0.0456989247311828,0.00908936459395175
87,0.031315240083507306,0.007638178865700367,0.46206896551724136,0.13872832369942195,0.6470588235294118,0.23361144219308702,0.04704301075268817,0.00908936459395175
88,0.03288100208768267,0.007638178865700367,0.46206896551724136,0.1396917148362235,0.6568627450980392,0.23361144219308702,0.04704301075268817,0.009429153924566768
89,0.03288100208768267,0.007818608287724784,0.4689655172413793,0.1396917148362235,0.6568627450980392,0.2395709177592372,0.04771505376344086,0.009429153924566768
90,0.03392484342379958,0.007818608287724784,0.4689655172413793,0.14065510597302505,0.6666666666666666,0.2395709177592372,0.04771505376344086,0.009514101257220523
91,0.03392484342379958,0.007999037709749203,0.47586206896551725,0.14065510597302505,0.6666666666666666,0.24195470798569726,0.04838709677419355,0.009514101257220523
92,0.03444676409185804,0.007999037709749203,0.47586206896551725,0.14258188824662812,0.6862745098039216,0.24195470798569726,0.04838709677419355,0.009768943255181788
93,0.03444676409185804,0.00805918085042401,0.4827586206896552,0.14258188824662812,0.6862745098039216,0.25387365911799764,0.049059139784946235,0.009768943255181788
94,0.03549060542797495,0.00805918085042401,0.4827586206896552,0.14354527938342967,0.696078431372549,0.25387365911799764,0.049059139784946235,0.010278627251104315
95,0.03549060542797495,0.00817946713177362,0.496551724137931,0.14354527938342967,0.696078431372549,0.2550655542312277,0.051075268817204304,0.010278627251104315
96,0.0360125260960334,0.00817946713177362,0.496551724137931,0.14450867052023122,0.7156862745098039,0.2550655542312277,0.051075268817204304,0.010448521916411825
